City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,68.94,77,0,9.22,ZA,1679164181
1,faanui,-16.4833,-151.75,82.44,77,100,14.7,PF,1679164182
2,vostok,46.4856,135.8833,15.04,92,86,6.11,RU,1679164183
3,barrow,71.2906,-156.7887,-20.18,69,0,11.5,US,1679164183
4,pathein,16.7833,94.7333,76.55,77,2,4.65,MM,1679164183
5,bunda,-2.05,33.8667,68.2,85,96,5.73,TZ,1679164184
6,tasiilaq,65.6145,-37.6368,12.36,74,42,3.33,GL,1679164184
7,lata,40.1629,-8.3327,58.91,85,96,5.99,PT,1679164184
8,bonavista,48.6499,-53.1147,32.43,97,100,11.5,CA,1679164185
9,hermanus,-34.4187,19.2345,63.81,72,85,11.95,ZA,1679164185
10,nantucket,41.2835,-70.0995,48.34,82,100,9.22,US,1679164185
11,talnakh,69.4865,88.3972,-27.53,99,64,6.46,RU,1679164186
12,albany,42.6001,-73.9662,44.46,50,43,1.01,US,1679164187
13,nikolskoye,59.7035,30.7861,40.89,73,100,14.65,RU,1679164188
14,bethel,41.3712,-73.414,52.02,45,0,11.5,US,1679164189
15,avarua,-21.2078,-159.775,80.65,89,75,4.61,CK,1679164190
16,dikson,73.5069,80.5464,-27.44,100,95,3.6,RU,1679164191
17,jamestown,42.097,-79.2353,33.39,62,100,18.41,US,1679164194
18,ushuaia,-54.8,-68.3,49.66,62,0,1.14,AR,1679164151
19,vaini,-21.2,-175.2,77.16,94,75,9.22,TO,1679164195
20,bredasdorp,-34.5322,20.0403,66.0,63,94,9.64,ZA,1679164196
21,atuona,-9.8,-139.0333,80.19,79,47,17.9,PF,1679164197
22,cabedelo,-6.9811,-34.8339,77.67,66,37,12.08,BR,1679163996
23,port alfred,-33.5906,26.891,68.18,85,82,3.0,ZA,1679164198
24,busselton,-33.65,115.3333,58.21,84,0,14.56,AU,1679164198
25,katsuura,35.1333,140.3,48.47,78,100,14.65,JP,1679164200
26,mataura,-46.1927,168.8643,48.52,74,6,3.98,NZ,1679164202
27,kieta,-6.2167,155.6333,78.21,84,12,0.76,PG,1679164204
28,srednekolymsk,67.45,153.6833,-7.96,98,16,4.27,RU,1679164208
29,kapaa,22.0752,-159.319,75.18,87,0,5.75,US,1679164210
30,chemin grenier,-20.4872,57.4656,76.59,84,100,2.98,MU,1679164212
31,kribi,2.95,9.9167,80.37,81,100,6.64,CM,1679164213
32,longyearbyen,78.2186,15.6401,10.24,79,75,8.05,SJ,1679164214
33,luau,-10.7073,22.2247,64.8,97,100,5.46,AO,1679164234
34,hirara,24.8,125.2833,69.66,88,100,14.97,JP,1679164235
35,hobart,-42.8794,147.3294,58.26,87,100,0.0,AU,1679164236
36,airai,-8.9266,125.4092,57.92,92,69,1.5,TL,1679164236
37,kodiak,57.79,-152.4072,22.51,93,0,5.75,US,1679163994
38,meulaboh,4.1363,96.1285,77.74,88,100,2.84,ID,1679164238
39,labuhan,-6.8844,112.2051,78.55,82,100,3.53,ID,1679164238
40,charlestown,-32.95,151.6667,71.82,96,0,1.99,AU,1679164239
41,tambopata,-12.7333,-69.1833,91.29,55,40,8.05,PE,1679164239
42,hasaki,35.7333,140.8333,42.22,57,100,21.25,JP,1679164241
43,kahului,20.8947,-156.47,78.84,77,20,1.01,US,1679164040
44,haines junction,60.7522,-137.5108,19.35,86,100,1.14,CA,1679164242
45,namibe,-15.1961,12.1522,74.71,84,94,6.51,AO,1679164242
46,fortuna,40.5982,-124.1573,55.92,81,0,5.99,US,1679164243
47,ambunti,-4.2365,142.8448,71.98,100,100,1.12,PG,1679164243
48,dingle,10.9995,122.6711,75.09,90,100,8.25,PH,1679164244
49,hithadhoo,-0.6,73.0833,82.09,74,100,5.99,MV,1679164244
50,johi,26.6921,67.6133,75.47,52,86,5.03,PK,1679164246
51,guerrero negro,27.9769,-114.0611,69.96,34,7,1.52,MX,1679164246
52,lavrentiya,65.5833,-171.0,-1.89,100,100,1.52,RU,1679164247
53,vanavara,60.34,102.2797,30.72,92,100,9.24,RU,1679164247
54,deputatskiy,69.3,139.9,-10.12,98,100,4.65,RU,1679164248
55,rikitea,-23.1203,-134.9692,79.68,77,64,14.94,PF,1679164249
56,westport,41.1415,-73.3579,53.2,42,0,11.5,US,1679164250
57,castro,-24.7911,-50.0119,76.62,56,0,6.44,BR,1679164250
58,batsfjord,70.6345,29.7185,28.33,93,100,11.5,NO,1679164251
59,dolinsk,47.35,142.8,21.69,87,16,6.33,RU,1679164251
60,new norfolk,-42.7826,147.0587,57.92,58,99,4.0,AU,1679164252
61,bluff,-46.6,168.3333,55.11,79,6,11.99,NZ,1679164253
62,yellowknife,62.456,-114.3525,18.12,67,20,11.5,CA,1679164254
63,ribeira grande,38.5167,-28.7,63.0,94,75,23.0,PT,1679164254
64,anadyr,64.75,177.4833,19.9,79,20,6.71,RU,1679164097
65,thompson,55.7435,-97.8558,21.36,63,40,9.22,CA,1679164256
66,rafaela,-31.2503,-61.4867,93.97,34,90,3.0,AR,1679164257
67,cabo san lucas,22.8909,-109.9124,81.61,63,20,3.44,MX,1679164258
68,hambantota,6.1241,81.1185,79.14,100,20,2.3,LK,1679164258
69,upernavik,72.7868,-56.1549,-4.92,99,91,10.2,GL,1679164259
70,shimsk,58.212,30.7127,32.38,78,100,13.96,RU,1679164260
71,bako,5.7833,36.5667,62.24,88,100,4.27,ET,1679164261
72,butaritari,3.0707,172.7902,80.74,69,100,6.67,KI,1679164261
73,puerto ayora,-0.7393,-90.3518,85.96,82,78,8.01,EC,1679164184
74,namtsy,62.7161,129.6658,3.02,81,100,12.64,RU,1679164262
75,sao jose da coroa grande,-8.8978,-35.1478,82.98,67,50,12.1,BR,1679164263
76,hilo,19.7297,-155.09,77.61,72,20,6.91,US,1679164047
77,guna,24.65,77.3167,68.45,65,6,7.72,IN,1679164264
78,khani,41.9563,42.9566,44.17,79,14,3.22,GE,1679164265
79,saint-philippe,-21.3585,55.7679,80.19,82,100,1.25,RE,1679164265
80,nelson bay,-32.7167,152.15,72.09,97,0,5.01,AU,1679164266
81,doka,13.5167,35.7667,88.47,15,100,13.29,SD,1679164266
82,west bay,19.3667,-81.4167,84.27,75,75,11.5,KY,1679164267
83,yumen,40.2833,97.2,40.53,34,91,7.99,CN,1679164268
84,homer,59.6425,-151.5483,30.79,70,100,14.0,US,1679164268
85,san patricio,28.017,-97.5169,55.26,57,100,17.87,US,1679164269
86,holoby,51.0865,25.0077,38.93,82,48,11.16,UA,1679164112
87,minyar,55.0709,57.5485,26.62,75,71,10.29,RU,1679164270
88,kiunga,-6.1219,141.2906,72.57,99,100,0.56,PG,1679164271
